
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.245       0.0000      -1.1036         0.00     0.00     0.00
        4   18.145       0.0000      -2.2032         0.00     0.00     0.00
        5   17.979       0.0000      -3.2947         0.00     0.00     0.00
        6   17.747       0.0000      -4.3742         0.00     0.00     0.00
        7   17.450       0.0000      -5.4378         0.00     0.00     0.00
        8   17.090       0.0000      -6.4815         0.00     0.00     0.00
        9   16.668       0.0000      -7.5015         0.00     0.00     0.00
       10   16.184       0.0000      -8.4942         0.00     0.00     0.00
       11   15.642       0.0000      -9.4559         0.00     0.00     0.00
       12   15.042       0.0000      -10.383         0.00     0.00     0.00
       13   14.388       0.0000      -11.272         0.00     0.00     0.00
       14   13.681       0.0000      -12.121         0.00     0.00     0.00
       15   12.924       0.0000      -12.924         0.00     0.00     0.00
       16   12.121       0.0000      -13.681         0.00     0.00     0.00
       17   11.272       0.0000      -14.388         0.00     0.00     0.00
       18   10.383       0.0000      -15.042         0.00     0.00     0.00
       19   9.4559       0.0000      -15.642         0.00     0.00     0.00
       20   8.4942       0.0000      -16.184         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   7.5015       0.0000      -16.668         0.00     0.00     0.00
       22   6.4815       0.0000      -17.090         0.00     0.00     0.00
       23   5.4378       0.0000      -17.450         0.00     0.00     0.00
       24   4.3742       0.0000      -17.747         0.00     0.00     0.00
       25   3.2947       0.0000      -17.979         0.00     0.00     0.00
       26   2.2032       0.0000      -18.145         0.00     0.00     0.00
       27   1.1036       0.0000      -18.245         0.00     0.00     0.00
       28   0.0000      -42.750       0.0000         0.00     0.00     0.00
       29   0.0000      -1.9839      -18.604         0.00     0.00     0.00
       30   0.0000      -3.9763      -18.873         0.00     0.00     0.00
       31   0.0000      -5.9752      -19.090         0.00     0.00     0.00
       32   0.0000      -7.9790      -19.253         0.00     0.00     0.00
       33   0.0000      -9.9865      -19.363         0.00     0.00     0.00
       34   0.0000      -11.996      -19.417         0.00     0.00     0.00
       35   0.0000      -14.007      -19.408         0.00     0.00     0.00
       36   0.0000      -16.016      -19.326         0.00     0.00     0.00
       37   0.0000      -18.018      -19.153         0.00     0.00     0.00
       38   0.0000      -20.009      -18.872         0.00     0.00     0.00
       39   0.0000      -21.980      -18.477         0.00     0.00     0.00
       40   0.0000      -23.926      -17.973         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   0.0000      -25.846      -17.375         0.00     0.00     0.00
       42   0.0000      -27.738      -16.695         0.00     0.00     0.00
       43   0.0000      -29.601      -15.939         0.00     0.00     0.00
       44   0.0000      -31.429      -15.102         0.00     0.00     0.00
       45   0.0000      -33.214      -14.178         0.00     0.00     0.00
       46   0.0000      -34.945      -13.155         0.00     0.00     0.00
       47   0.0000      -36.602      -12.017         0.00     0.00     0.00
       48   0.0000      -38.154      -10.741         0.00     0.00     0.00
       49   0.0000      -39.553      -9.2986         0.00     0.00     0.00
       50   0.0000      -40.733      -7.6730         0.00     0.00     0.00
       51   0.0000      -41.653      -5.8877         0.00     0.00     0.00
       52   0.0000      -42.293      -3.9835         0.00     0.00     0.00
       53   0.0000      -42.652      -2.0069         0.00     0.00     0.00
       54   18.604      -1.9839       0.0000         0.00     0.00     0.00
       55   18.873      -3.9763       0.0000         0.00     0.00     0.00
       56   19.090      -5.9752       0.0000         0.00     0.00     0.00
       57   19.253      -7.9790       0.0000         0.00     0.00     0.00
       58   19.363      -9.9865       0.0000         0.00     0.00     0.00
       59   19.417      -11.996       0.0000         0.00     0.00     0.00
       60   19.408      -14.007       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   19.326      -16.016       0.0000         0.00     0.00     0.00
       62   19.153      -18.018       0.0000         0.00     0.00     0.00
       63   18.872      -20.009       0.0000         0.00     0.00     0.00
       64   18.477      -21.980       0.0000         0.00     0.00     0.00
       65   17.973      -23.926       0.0000         0.00     0.00     0.00
       66   17.375      -25.846       0.0000         0.00     0.00     0.00
       67   16.695      -27.738       0.0000         0.00     0.00     0.00
       68   15.939      -29.601       0.0000         0.00     0.00     0.00
       69   15.102      -31.429       0.0000         0.00     0.00     0.00
       70   14.178      -33.214       0.0000         0.00     0.00     0.00
       71   13.155      -34.945       0.0000         0.00     0.00     0.00
       72   12.017      -36.602       0.0000         0.00     0.00     0.00
       73   10.741      -38.154       0.0000         0.00     0.00     0.00
       74   9.2986      -39.553       0.0000         0.00     0.00     0.00
       75   7.6730      -40.733       0.0000         0.00     0.00     0.00
       76   5.8877      -41.653       0.0000         0.00     0.00     0.00
       77   3.9835      -42.293       0.0000         0.00     0.00     0.00
       78   2.0069      -42.652       0.0000         0.00     0.00     0.00
       79   13.562      -17.770      -13.562         0.00     0.00     0.00
       80   13.090      -1.3877      -13.090         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   13.237      -2.7876      -13.237         0.00     0.00     0.00
       82   13.364      -4.1963      -13.364         0.00     0.00     0.00
       83   13.473      -5.6115      -13.473         0.00     0.00     0.00
       84   13.564      -7.0319      -13.564         0.00     0.00     0.00
       85   13.636      -8.4560      -13.636         0.00     0.00     0.00
       86   13.689      -9.8825      -13.689         0.00     0.00     0.00
       87   13.721      -11.310      -13.721         0.00     0.00     0.00
       88   13.733      -12.737      -13.733         0.00     0.00     0.00
       89   13.721      -14.161      -13.721         0.00     0.00     0.00
       90   13.684      -15.559      -13.684         0.00     0.00     0.00
       91   13.623      -16.847      -13.623         0.00     0.00     0.00
       92   1.1474      -25.369      -17.495         0.00     0.00     0.00
       93   2.3111      -24.857      -17.543         0.00     0.00     0.00
       94   3.4954      -24.307      -17.517         0.00     0.00     0.00
       95   4.6921      -23.717      -17.412         0.00     0.00     0.00
       96   5.8879      -23.091      -17.224         0.00     0.00     0.00
       97   7.0685      -22.434      -16.955         0.00     0.00     0.00
       98   8.2198      -21.752      -16.606         0.00     0.00     0.00
       99   9.3288      -21.051      -16.181         0.00     0.00     0.00
      100   10.384      -20.336      -15.689         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   11.373      -19.614      -15.141         0.00     0.00     0.00
      102   12.277      -18.900      -14.556         0.00     0.00     0.00
      103   13.048      -18.240      -13.985         0.00     0.00     0.00
      104   17.494      -25.369      -1.1506         0.00     0.00     0.00
      105   17.542      -24.858      -2.3168         0.00     0.00     0.00
      106   17.515      -24.307      -3.5025         0.00     0.00     0.00
      107   17.409      -23.717      -4.6997         0.00     0.00     0.00
      108   17.222      -23.091      -5.8953         0.00     0.00     0.00
      109   16.952      -22.434      -7.0750         0.00     0.00     0.00
      110   16.603      -21.752      -8.2253         0.00     0.00     0.00
      111   16.179      -21.051      -9.3331         0.00     0.00     0.00
      112   15.687      -20.336      -10.386         0.00     0.00     0.00
      113   15.139      -19.614      -11.375         0.00     0.00     0.00
      114   14.555      -18.900      -12.278         0.00     0.00     0.00
      115   13.985      -18.240      -13.049         0.00     0.00     0.00
      116   13.858      -1.4043      -12.278         0.00     0.00     0.00
      117   14.579      -1.4460      -11.423         0.00     0.00     0.00
      118   15.250      -1.4977      -10.525         0.00     0.00     0.00
      119   15.867      -1.5511      -9.5861         0.00     0.00     0.00
      120   16.426      -1.6040      -8.6101         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   16.926      -1.6563      -7.6012         0.00     0.00     0.00
      122   17.363      -1.7075      -6.5638         0.00     0.00     0.00
      123   17.736      -1.7574      -5.5026         0.00     0.00     0.00
      124   18.043      -1.8055      -4.4222         0.00     0.00     0.00
      125   18.284      -1.8517      -3.3273         0.00     0.00     0.00
      126   18.457      -1.8959      -2.2227         0.00     0.00     0.00
      127   18.564      -1.9389      -1.1125         0.00     0.00     0.00
      128   14.013      -2.8209      -12.419         0.00     0.00     0.00
      129   14.746      -2.9044      -11.557         0.00     0.00     0.00
      130   15.430      -3.0081      -10.651         0.00     0.00     0.00
      131   16.061      -3.1150      -9.7011         0.00     0.00     0.00
      132   16.635      -3.2212      -8.7118         0.00     0.00     0.00
      133   17.147      -3.3259      -7.6878         0.00     0.00     0.00
      134   17.596      -3.4284      -6.6345         0.00     0.00     0.00
      135   17.978      -3.5282      -5.5573         0.00     0.00     0.00
      136   18.294      -3.6246      -4.4618         0.00     0.00     0.00
      137   18.541      -3.7170      -3.3535         0.00     0.00     0.00
      138   18.719      -3.8052      -2.2378         0.00     0.00     0.00
      139   18.830      -3.8904      -1.1191         0.00     0.00     0.00
      140   14.147      -4.2463      -12.542         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   14.888      -4.3717      -11.676         0.00     0.00     0.00
      142   15.583      -4.5274      -10.762         0.00     0.00     0.00
      143   16.225      -4.6880      -9.8025         0.00     0.00     0.00
      144   16.810      -4.8473      -8.8011         0.00     0.00     0.00
      145   17.332      -5.0044      -7.7634         0.00     0.00     0.00
      146   17.789      -5.1583      -6.6956         0.00     0.00     0.00
      147   18.179      -5.3079      -5.6040         0.00     0.00     0.00
      148   18.500      -5.4524      -4.4949         0.00     0.00     0.00
      149   18.751      -5.5909      -3.3747         0.00     0.00     0.00
      150   18.932      -5.7230      -2.2496         0.00     0.00     0.00
      151   19.044      -5.8497      -1.1241         0.00     0.00     0.00
      152   14.260      -5.6784      -12.648         0.00     0.00     0.00
      153   15.007      -5.8457      -11.779         0.00     0.00     0.00
      154   15.709      -6.0535      -10.859         0.00     0.00     0.00
      155   16.359      -6.2676      -9.8910         0.00     0.00     0.00
      156   16.951      -6.4801      -8.8788         0.00     0.00     0.00
      157   17.481      -6.6896      -7.8288         0.00     0.00     0.00
      158   17.944      -6.8946      -6.7479         0.00     0.00     0.00
      159   18.339      -7.0940      -5.6433         0.00     0.00     0.00
      160   18.663      -7.2863      -4.5221         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   18.915      -7.4707      -3.3916         0.00     0.00     0.00
      162   19.097      -7.6464      -2.2586         0.00     0.00     0.00
      163   19.209      -7.8144      -1.1277         0.00     0.00     0.00
      164   14.351      -7.1155      -12.738         0.00     0.00     0.00
      165   15.101      -7.3247      -11.866         0.00     0.00     0.00
      166   15.807      -7.5845      -10.942         0.00     0.00     0.00
      167   16.462      -7.8522      -9.9667         0.00     0.00     0.00
      168   17.060      -8.1178      -8.9451         0.00     0.00     0.00
      169   17.594      -8.3795      -7.8842         0.00     0.00     0.00
      170   18.060      -8.6357      -6.7917         0.00     0.00     0.00
      171   18.457      -8.8846      -5.6756         0.00     0.00     0.00
      172   18.781      -9.1247      -4.5438         0.00     0.00     0.00
      173   19.032      -9.3548      -3.4044         0.00     0.00     0.00
      174   19.212      -9.5739      -2.2648         0.00     0.00     0.00
      175   19.322      -9.7830      -1.1300         0.00     0.00     0.00
      176   14.422      -8.5563      -12.811         0.00     0.00     0.00
      177   15.171      -8.8075      -11.939         0.00     0.00     0.00
      178   15.878      -9.1192      -11.011         0.00     0.00     0.00
      179   16.535      -9.4404      -10.030         0.00     0.00     0.00
      180   17.134      -9.7590      -9.0001         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   17.669      -10.073      -7.9298         0.00     0.00     0.00
      182   18.136      -10.380      -6.8271         0.00     0.00     0.00
      183   18.531      -10.678      -5.7009         0.00     0.00     0.00
      184   18.853      -10.966      -4.5600         0.00     0.00     0.00
      185   19.101      -11.242      -3.4132         0.00     0.00     0.00
      186   19.276      -11.504      -2.2685         0.00     0.00     0.00
      187   19.380      -11.754      -1.1310         0.00     0.00     0.00
      188   14.470      -9.9996      -12.867         0.00     0.00     0.00
      189   15.215      -10.293      -11.996         0.00     0.00     0.00
      190   15.919      -10.656      -11.066         0.00     0.00     0.00
      191   16.574      -11.031      -10.080         0.00     0.00     0.00
      192   17.171      -11.402      -9.0439         0.00     0.00     0.00
      193   17.704      -11.768      -7.9657         0.00     0.00     0.00
