
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.265       0.0000     -0.68344         0.00     0.00     0.00
        4   18.227       0.0000      -1.3659         0.00     0.00     0.00
        5   18.163       0.0000      -2.0465         0.00     0.00     0.00
        6   18.074       0.0000      -2.7242         0.00     0.00     0.00
        7   17.959       0.0000      -3.3981         0.00     0.00     0.00
        8   17.820       0.0000      -4.0672         0.00     0.00     0.00
        9   17.655       0.0000      -4.7307         0.00     0.00     0.00
       10   17.466       0.0000      -5.3875         0.00     0.00     0.00
       11   17.252       0.0000      -6.0368         0.00     0.00     0.00
       12   17.015       0.0000      -6.6777         0.00     0.00     0.00
       13   16.753       0.0000      -7.3092         0.00     0.00     0.00
       14   16.468       0.0000      -7.9305         0.00     0.00     0.00
       15   16.160       0.0000      -8.5407         0.00     0.00     0.00
       16   15.829       0.0000      -9.1390         0.00     0.00     0.00
       17   15.476       0.0000      -9.7245         0.00     0.00     0.00
       18   15.102       0.0000      -10.296         0.00     0.00     0.00
       19   14.706       0.0000      -10.854         0.00     0.00     0.00
       20   14.290       0.0000      -11.396         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   13.854       0.0000      -11.923         0.00     0.00     0.00
       22   13.399       0.0000      -12.432         0.00     0.00     0.00
       23   12.924       0.0000      -12.924         0.00     0.00     0.00
       24   12.432       0.0000      -13.399         0.00     0.00     0.00
       25   11.923       0.0000      -13.854         0.00     0.00     0.00
       26   11.396       0.0000      -14.290         0.00     0.00     0.00
       27   10.854       0.0000      -14.706         0.00     0.00     0.00
       28   10.296       0.0000      -15.102         0.00     0.00     0.00
       29   9.7245       0.0000      -15.476         0.00     0.00     0.00
       30   9.1390       0.0000      -15.829         0.00     0.00     0.00
       31   8.5407       0.0000      -16.160         0.00     0.00     0.00
       32   7.9305       0.0000      -16.468         0.00     0.00     0.00
       33   7.3092       0.0000      -16.753         0.00     0.00     0.00
       34   6.6777       0.0000      -17.015         0.00     0.00     0.00
       35   6.0368       0.0000      -17.252         0.00     0.00     0.00
       36   5.3875       0.0000      -17.466         0.00     0.00     0.00
       37   4.7307       0.0000      -17.655         0.00     0.00     0.00
       38   4.0672       0.0000      -17.820         0.00     0.00     0.00
       39   3.3981       0.0000      -17.959         0.00     0.00     0.00
       40   2.7242       0.0000      -18.074         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   2.0465       0.0000      -18.163         0.00     0.00     0.00
       42   1.3659       0.0000      -18.227         0.00     0.00     0.00
       43  0.68344       0.0000      -18.265         0.00     0.00     0.00
       44   0.0000      -42.750       0.0000         0.00     0.00     0.00
       45   0.0000      -1.2059      -18.336         0.00     0.00     0.00
       46   0.0000      -2.4127      -18.374         0.00     0.00     0.00
       47   0.0000      -3.6198      -18.392         0.00     0.00     0.00
       48   0.0000      -4.8272      -18.391         0.00     0.00     0.00
       49   0.0000      -6.0343      -18.371         0.00     0.00     0.00
       50   0.0000      -7.2410      -18.332         0.00     0.00     0.00
       51   0.0000      -8.4469      -18.274         0.00     0.00     0.00
       52   0.0000      -9.6518      -18.196         0.00     0.00     0.00
       53   0.0000      -10.855      -18.097         0.00     0.00     0.00
       54   0.0000      -12.056      -17.975         0.00     0.00     0.00
       55   0.0000      -13.255      -17.830         0.00     0.00     0.00
       56   0.0000      -14.450      -17.661         0.00     0.00     0.00
       57   0.0000      -15.642      -17.470         0.00     0.00     0.00
       58   0.0000      -16.831      -17.258         0.00     0.00     0.00
       59   0.0000      -18.016      -17.027         0.00     0.00     0.00
       60   0.0000      -19.198      -16.781         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   0.0000      -20.377      -16.522         0.00     0.00     0.00
       62   0.0000      -21.554      -16.252         0.00     0.00     0.00
       63   0.0000      -22.728      -15.972         0.00     0.00     0.00
       64   0.0000      -23.901      -15.684         0.00     0.00     0.00
       65   0.0000      -25.071      -15.388         0.00     0.00     0.00
       66   0.0000      -26.240      -15.085         0.00     0.00     0.00
       67   0.0000      -27.406      -14.774         0.00     0.00     0.00
       68   0.0000      -28.568      -14.446         0.00     0.00     0.00
       69   0.0000      -29.723      -14.093         0.00     0.00     0.00
       70   0.0000      -30.866      -13.705         0.00     0.00     0.00
       71   0.0000      -31.995      -13.277         0.00     0.00     0.00
       72   0.0000      -33.105      -12.803         0.00     0.00     0.00
       73   0.0000      -34.193      -12.280         0.00     0.00     0.00
       74   0.0000      -35.254      -11.703         0.00     0.00     0.00
       75   0.0000      -36.279      -11.066         0.00     0.00     0.00
       76   0.0000      -37.261      -10.364         0.00     0.00     0.00
       77   0.0000      -38.187      -9.5900         0.00     0.00     0.00
       78   0.0000      -39.046      -8.7416         0.00     0.00     0.00
       79   0.0000      -39.821      -7.8169         0.00     0.00     0.00
       80   0.0000      -40.504      -6.8218         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   0.0000      -41.096      -5.7697         0.00     0.00     0.00
       82   0.0000      -41.598      -4.6723         0.00     0.00     0.00
       83   0.0000      -42.014      -3.5392         0.00     0.00     0.00
       84   0.0000      -42.345      -2.3783         0.00     0.00     0.00
       85   0.0000      -42.590      -1.1965         0.00     0.00     0.00
       86   18.336      -1.2059       0.0000         0.00     0.00     0.00
       87   18.374      -2.4127       0.0000         0.00     0.00     0.00
       88   18.392      -3.6198       0.0000         0.00     0.00     0.00
       89   18.391      -4.8272       0.0000         0.00     0.00     0.00
       90   18.371      -6.0343       0.0000         0.00     0.00     0.00
       91   18.332      -7.2410       0.0000         0.00     0.00     0.00
       92   18.274      -8.4469       0.0000         0.00     0.00     0.00
       93   18.196      -9.6518       0.0000         0.00     0.00     0.00
       94   18.097      -10.855       0.0000         0.00     0.00     0.00
       95   17.975      -12.056       0.0000         0.00     0.00     0.00
       96   17.830      -13.255       0.0000         0.00     0.00     0.00
       97   17.661      -14.450       0.0000         0.00     0.00     0.00
       98   17.470      -15.642       0.0000         0.00     0.00     0.00
       99   17.258      -16.831       0.0000         0.00     0.00     0.00
      100   17.027      -18.016       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   16.781      -19.198       0.0000         0.00     0.00     0.00
      102   16.522      -20.377       0.0000         0.00     0.00     0.00
      103   16.252      -21.554       0.0000         0.00     0.00     0.00
      104   15.972      -22.728       0.0000         0.00     0.00     0.00
      105   15.684      -23.901       0.0000         0.00     0.00     0.00
      106   15.388      -25.071       0.0000         0.00     0.00     0.00
      107   15.085      -26.240       0.0000         0.00     0.00     0.00
      108   14.774      -27.406       0.0000         0.00     0.00     0.00
      109   14.446      -28.568       0.0000         0.00     0.00     0.00
      110   14.093      -29.723       0.0000         0.00     0.00     0.00
      111   13.705      -30.866       0.0000         0.00     0.00     0.00
      112   13.277      -31.995       0.0000         0.00     0.00     0.00
      113   12.803      -33.105       0.0000         0.00     0.00     0.00
      114   12.280      -34.193       0.0000         0.00     0.00     0.00
      115   11.703      -35.254       0.0000         0.00     0.00     0.00
      116   11.066      -36.279       0.0000         0.00     0.00     0.00
      117   10.364      -37.261       0.0000         0.00     0.00     0.00
      118   9.5900      -38.187       0.0000         0.00     0.00     0.00
      119   8.7416      -39.046       0.0000         0.00     0.00     0.00
      120   7.8169      -39.821       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   6.8218      -40.504       0.0000         0.00     0.00     0.00
      122   5.7697      -41.096       0.0000         0.00     0.00     0.00
      123   4.6723      -41.598       0.0000         0.00     0.00     0.00
      124   3.5392      -42.014       0.0000         0.00     0.00     0.00
      125   2.3783      -42.345       0.0000         0.00     0.00     0.00
      126   1.1965      -42.590       0.0000         0.00     0.00     0.00
      127   12.126      -17.407      -12.126         0.00     0.00     0.00
      128   12.955     -0.84357      -12.955         0.00     0.00     0.00
      129   12.978      -1.6892      -12.978         0.00     0.00     0.00
      130   12.994      -2.5369      -12.994         0.00     0.00     0.00
      131   13.004      -3.3862      -13.004         0.00     0.00     0.00
      132   13.006      -4.2370      -13.006         0.00     0.00     0.00
      133   13.002      -5.0889      -13.002         0.00     0.00     0.00
      134   12.992      -5.9415      -12.992         0.00     0.00     0.00
      135   12.974      -6.7947      -12.974         0.00     0.00     0.00
      136   12.950      -7.6481      -12.950         0.00     0.00     0.00
      137   12.919      -8.5015      -12.919         0.00     0.00     0.00
      138   12.882      -9.3547      -12.882         0.00     0.00     0.00
      139   12.836      -10.207      -12.836         0.00     0.00     0.00
      140   12.783      -11.059      -12.783         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   12.722      -11.910      -12.722         0.00     0.00     0.00
      142   12.652      -12.758      -12.652         0.00     0.00     0.00
      143   12.575      -13.604      -12.575         0.00     0.00     0.00
      144   12.489      -14.447      -12.489         0.00     0.00     0.00
      145   12.395      -15.286      -12.395         0.00     0.00     0.00
      146   12.296      -16.109      -12.296         0.00     0.00     0.00
      147   12.199      -16.867      -12.199         0.00     0.00     0.00
      148  0.61445      -24.768      -15.453         0.00     0.00     0.00
      149   1.2353      -24.457      -15.495         0.00     0.00     0.00
      150   1.8654      -24.138      -15.512         0.00     0.00     0.00
      151   2.5040      -23.811      -15.505         0.00     0.00     0.00
      152   3.1489      -23.475      -15.472         0.00     0.00     0.00
      153   3.7973      -23.131      -15.413         0.00     0.00     0.00
      154   4.4465      -22.779      -15.328         0.00     0.00     0.00
      155   5.0937      -22.418      -15.217         0.00     0.00     0.00
      156   5.7363      -22.050      -15.081         0.00     0.00     0.00
      157   6.3718      -21.675      -14.920         0.00     0.00     0.00
      158   6.9978      -21.293      -14.736         0.00     0.00     0.00
      159   7.6119      -20.904      -14.529         0.00     0.00     0.00
      160   8.2123      -20.510      -14.302         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   8.7967      -20.111      -14.056         0.00     0.00     0.00
      162   9.3635      -19.707      -13.793         0.00     0.00     0.00
      163   9.9110      -19.299      -13.515         0.00     0.00     0.00
      164   10.438      -18.887      -13.225         0.00     0.00     0.00
      165   10.943      -18.472      -12.924         0.00     0.00     0.00
      166   11.418      -18.061      -12.619         0.00     0.00     0.00
      167   11.838      -17.679      -12.333         0.00     0.00     0.00
      168   15.453      -24.768     -0.61522         0.00     0.00     0.00
      169   15.495      -24.457      -1.2367         0.00     0.00     0.00
      170   15.512      -24.138      -1.8672         0.00     0.00     0.00
      171   15.505      -23.811      -2.5061         0.00     0.00     0.00
      172   15.472      -23.475      -3.1511         0.00     0.00     0.00
      173   15.412      -23.131      -3.7995         0.00     0.00     0.00
      174   15.327      -22.779      -4.4485         0.00     0.00     0.00
      175   15.216      -22.418      -5.0956         0.00     0.00     0.00
      176   15.080      -22.050      -5.7380         0.00     0.00     0.00
      177   14.919      -21.675      -6.3732         0.00     0.00     0.00
      178   14.735      -21.293      -6.9990         0.00     0.00     0.00
      179   14.529      -20.904      -7.6129         0.00     0.00     0.00
      180   14.302      -20.510      -8.2130         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   14.056      -20.111      -8.7973         0.00     0.00     0.00
      182   13.793      -19.707      -9.3639         0.00     0.00     0.00
      183   13.515      -19.299      -9.9113         0.00     0.00     0.00
      184   13.224      -18.887      -10.438         0.00     0.00     0.00
      185   12.924      -18.472      -10.943         0.00     0.00     0.00
      186   12.619      -18.061      -11.418         0.00     0.00     0.00
      187   12.333      -17.679      -11.838         0.00     0.00     0.00
      188   13.429     -0.84979      -12.463         0.00     0.00     0.00
      189   13.885     -0.86534      -11.954         0.00     0.00     0.00
      190   14.322     -0.88455      -11.428         0.00     0.00     0.00
      191   14.740     -0.90426      -10.885         0.00     0.00     0.00
      192   15.137     -0.92384      -10.326         0.00     0.00     0.00
      193   15.514     -0.94326      -9.7529         0.00     0.00     0.00
      194   15.869     -0.96250      -9.1654         0.00     0.00     0.00
      195   16.202     -0.98154      -8.5647         0.00     0.00     0.00
